Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Article Influence Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,508.702,79.357
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,94.444,28.200
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,91.253,37.313
4,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,84.694,24.962
5,LANCET,LANCET,79.323,29.073
6,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,66.675,16.649
7,Nature Reviews Materials,NAT REV MATER,66.308,28.974
8,Nature Energy,NAT ENERGY,60.858,19.734
9,NATURE REVIEWS CANCER,NAT REV CANCER,60.716,22.615
10,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,60.633,18.988
11,CHEMICAL REVIEWS,CHEM REV,60.622,17.028
12,MMWR Surveillance Summaries,MMWR SURVEILL SUMM,58.769,15.542
13,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,56.274,26.361
14,MMWR Recommendations and Reports,MMWR RECOMM REP,55.857,57.306
15,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,54.908,25.069
16,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,54.564,12.213
17,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,54.494,22.115
18,NATURE MEDICINE,NAT MED,53.440,20.837
19,NATURE REVIEWS GENETICS,NAT REV GENET,53.242,23.446
20,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,53.106,23.026
21,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,52.329,19.849
22,NATURE,NATURE,49.962,23.886
23,World Psychiatry,WORLD PSYCHIATRY,49.548,18.542
24,SCIENCE,SCIENCE,47.728,22.101
25,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,46.802,11.393
26,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,44.544,12.126
27,LANCET NEUROLOGY,LANCET NEUROL,44.182,14.028
28,NATURE MATERIALS,NAT MATER,43.841,15.509
29,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,43.330,10.598
30,Nature Reviews Neurology,NAT REV NEUROL,42.937,11.486
31,Nature Catalysis,NAT CATAL,41.813,13.535
32,CELL,CELL,41.584,23.890
33,LANCET ONCOLOGY,LANCET ONCOL,41.316,16.231
34,Joule,JOULE,41.248,11.517
35,Living Reviews in Relativity,LIVING REV RELATIV,40.429,11.076
36,BMJ-British Medical Journal,BMJ-BRIT MED J,39.890,15.274
37,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,39.580,7.955
38,Cancer Discovery,CANCER DISCOV,39.397,16.332
39,Nature Nanotechnology,NAT NANOTECHNOL,39.213,13.648
40,Nature Photonics,NAT PHOTONICS,38.771,14.034
41,Energy & Environmental Science,ENERG ENVIRON SCI,38.532,8.667
42,NATURE GENETICS,NAT GENET,38.330,19.013
43,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,37.312,11.480
44,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,36.214,7.119
45,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,34.870,17.644
46,Nature Reviews Chemistry,NAT REV CHEM,34.035,13.165
47,Nature Electronics,NAT ELECTRON,33.686,11.904
48,ANNALS OF ONCOLOGY,ANN ONCOL,32.976,7.780
49,Nature Reviews Cardiology,NAT REV CARDIOL,32.430,9.008
50,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,32.069,10.950
51,JAMA Oncology,JAMA ONCOL,31.777,11.310
52,IMMUNITY,IMMUNITY,31.745,14.087
53,CANCER CELL,CANCER CELL,31.743,13.754
54,Nature Reviews Physics,NAT REV PHYS,31.068,12.751
55,Materials Today,MATER TODAY,31.041,8.021
56,ADVANCED MATERIALS,ADV MATER,30.849,6.637
57,Lancet Respiratory Medicine,LANCET RESP MED,30.700,11.873
58,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,30.065,15.740
59,EUROPEAN HEART JOURNAL,EUR HEART J,29.983,10.422
60,CIRCULATION,CIRCULATION,29.690,10.677
61,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,29.394,7.223
62,Advanced Energy Materials,ADV ENERGY MATER,29.368,5.947
63,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,29.190,5.527
64,Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,28.905,6.266
65,NATURE CELL BIOLOGY,NAT CELL BIOL,28.824,11.073
66,NATURE METHODS,NAT METHODS,28.547,25.565
67,Annual Review of Immunology,ANNU REV IMMUNOL,28.527,13.675
68,Nature Reviews Nephrology,NAT REV NEPHROL,28.314,8.340
69,Molecular Cancer,MOL CANCER,27.401,3.602
70,Cell Metabolism,CELL METAB,27.287,10.866
71,Lancet Global Health,LANCET GLOB HEALTH,26.763,11.980
72,Lancet Psychiatry,LANCET PSYCHIAT,26.481,10.021
73,Annual Review of Plant Biology,ANNU REV PLANT BIOL,26.379,9.681
74,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,26.132,10.140
75,Journal of Extracellular Vesicles,J EXTRACELL VESICLES,25.841,5.202
76,Nature Biomedical Engineering,NAT BIOMED ENG,25.671,8.986
77,CELL RESEARCH,CELL RES,25.617,9.454
78,NATURE IMMUNOLOGY,NAT IMMUNOL,25.606,12.084
79,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,25.600,9.048
80,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,25.468,7.344
81,InfoMat,INFOMAT,25.405,5.070
82,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,25.391,11.420
83,ADVANCES IN PHYSICS,ADV PHYS,25.375,13.547
84,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,25.357,8.618
85,Nature Climate Change,NAT CLIM CHANGE,25.290,10.738
86,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,25.249,6.344
87,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,25.113,4.604
88,JOURNAL OF HEPATOLOGY,J HEPATOL,25.083,6.262
